id,name,language,description,watchers,pull_requests,commits,members,issues,bucket,include
27050,https://api.github.com/repos/webgme/webgme,JavaScript,Web-based Generic Modeling Environment,86,931,11424,0,1674,big,
62106110,https://api.github.com/repos/DevExpress/DevExtreme,JavaScript,HTML5 JavaScript Component Suite for Responsive Web Development,1114,7883,8953,0,8169,big,x
84665021,https://api.github.com/repos/mullvad/mullvadvpn-app,JavaScript,The Mullvad VPN client app for desktop and mobile,333,790,12632,0,877,big,
37152407,https://api.github.com/repos/linode/manager,JavaScript,The Linode manager,453,3313,6817,0,4976,big,
45284088,https://api.github.com/repos/webpack/webpack.js.org,JavaScript,New repository for webpack documentation!,1574,2192,6277,0,3097,big,x
28514697,https://api.github.com/repos/invoiceninja/invoiceninja,JavaScript,An open-source invoicing and time-tracking app built with Laravel,2688,716,7303,0,2387,big,
88807187,https://api.github.com/repos/OriginTrail/ot-node,JavaScript,OriginTrail alpha network node,91,898,6750,0,927,big,
29930350,https://api.github.com/repos/Flexberry/ember-flexberry,JavaScript,[WIP] Ember Flexberry Addon - SPA Framework powered by Ember.js.,6,718,5604,0,751,big,
34618833,https://api.github.com/repos/Microsoft/pxt,JavaScript,A kinder JavaScript experience,813,3217,18672,0,5574,big,x
51237091,https://api.github.com/repos/4dn-dcic/fourfront,JavaScript,website for submitting and viewing genomic data,5,814,9633,7,902,big,
11151702,https://api.github.com/repos/hapijs/lab,JavaScript,Test utility,735,381,751,22,820,popular,
11152003,https://api.github.com/repos/hapijs/good,JavaScript,Hapi process monitoring,557,205,372,22,478,popular,
9862004,https://api.github.com/repos/socketio/socket.io-client,JavaScript,Realtime application framework (client),3018,74,169,184,373,popular,
2887327,https://api.github.com/repos/bem/bem-core,JavaScript,BEM Core Library,287,823,3991,43,1633,popular,
760,https://api.github.com/repos/enyojs/enyo,JavaScript,A JavaScript application framework emphasizing modularity and encapsulation,2327,1388,5968,120,1435,popular,x
22045051,https://api.github.com/repos/trueadm/inferno,JavaScript,"An extremely fast, isomorphic JavaScript library for building modern user interfaces",7027,292,4383,22,595,popular,
9861851,https://api.github.com/repos/socketio/socket.io,JavaScript,Realtime application framework (Node.JS server),18609,359,169,184,1019,popular,x
10441,https://api.github.com/repos/mercadolibre/chico,JavaScript,A collection of easy-to-use UI components.,395,416,1579,473,1386,popular,
68183961,https://api.github.com/repos/siddharthkp/bundlesize,JavaScript,Keep your bundle size in check,3413,129,464,34,265,popular,x
11241246,https://api.github.com/repos/mapbox/mapbox-gl-styles,JavaScript,Prebuilt Mapbox GL styles for use in Mapbox GL JS or the Mapbox Mobile SDKs and as a starting point for custom maps built with Mapbox Studio,185,115,1039,59,331,popular,
9734683,https://api.github.com/repos/bpmn-io/diagram-js,JavaScript,A toolbox for displaying and modifying diagrams on the web,458,112,2667,11,322,medium,x
12240439,https://api.github.com/repos/Gapminder/vizabi,JavaScript,Vizabi is a framework for building visual data exploration tools freely provided by Gapminder [WARNING: Vizabi is in pre-alpha. Don't expect too much!],97,594,4081,12,1904,medium,
1884,https://api.github.com/repos/walmartlabs/thorax,JavaScript,Strengthening your Backbone,757,178,1670,62,430,medium,
22906,https://api.github.com/repos/mysqljs/mysql,JavaScript,A pure node.js JavaScript Client implementing the MySql protocol.,5544,270,1534,16,1441,medium,x
57673856,https://api.github.com/repos/climu/openstudyroom,JavaScript,website for openstudyroom.org,39,225,1136,10,380,medium,
4937892,https://api.github.com/repos/jspm/registry,JavaScript,The jspm registry and package.json override service,251,796,1447,11,1060,medium,x
22045051,https://api.github.com/repos/trueadm/inferno,JavaScript,"An extremely fast, isomorphic JavaScript library for building modern user interfaces",7027,292,4383,22,595,medium,
4604,https://api.github.com/repos/waterbearlang/waterbear,JavaScript,Visual block syntax for programming languages,343,514,2807,20,1333,medium,
1394906,https://api.github.com/repos/ether/etherpad-lite,JavaScript,Etherpad: Really real-time collaborative document editing,8325,1435,2942,17,3635,medium,
10441,https://api.github.com/repos/mercadolibre/chico,JavaScript,A collection of easy-to-use UI components.,395,416,1579,473,1386,medium,
123175937,https://api.github.com/repos/index-swf/biz-auto-form,JavaScript,,0,0,22,0,0,small,
104634723,https://api.github.com/repos/dozjs/doz-cli,JavaScript,Command line interface for Doz,1,0,25,0,0,small,
114169872,https://api.github.com/repos/fs-opensource/hercules,JavaScript,The one and only Vagrant box for all your projects,2,0,80,0,0,small,
60806581,https://api.github.com/repos/mike-goodwin/owasp-threat-dragon-desktop,JavaScript,An installable desktop variant of OWASP Threat Dragon,76,37,103,0,47,small,x
127336092,https://api.github.com/repos/wildapt01/job-hunter,JavaScript,,0,1,62,0,1,small,
